Name,PSW,PMW,PLW
1RXSJ044154.5-082639,P,U,U
1RXSJ045205.0+493248,E,E,E
2E1739.1-1210,E,E,E
2MASSJ07594181-3843560,C,C,C
2MASSJ17485512-3254521,C,C,C
2MASXiJ1802473-145454,C,C,C
2MASXJ00253292+6821442,C,C,C
2MASXJ01064523+0638015,P,U,U
2MASXJ01073963-1139117,P,P,P
2MASXJ03305218+0538253,C,C,C
2MASXJ03342453-1513402,P,P,E
2MASXJ03502377-5018354,E,E,E
2MASXJ03534246+3714077,P,P,P
2MASXJ03540948+0249307,C,C,C
2MASXJ04234080+0408017,P,P,U
2MASXJ04440903+2813003,C,C,C
2MASXJ05020903+0331499,E,U,U
2MASXJ05054575-2351139,E,E,E
2MASXJ05580206-3820043,E,E,E
2MASXJ06411806+3249313,U,U,U
2MASXJ06561197-4919499,E,E,U
2MASXJ07262635-3554214,C,C,C
2MASXJ07595347+2323241,E,E,E
2MASXJ08032736+0841523,U,U,U
2MASXJ09023729-4813339,C,C,C
2MASXJ09043699+5536025,P,U,U
2MASXJ09235371-3141305,P,U,U
2MASXJ09254750+6927532,P,U,U
2MASXJ09360622-6548336,U,U,U
2MASXJ09594263-3112581,E,E,U
2MASXJ10402231-4625264,P,P,P
2MASXJ11454045-1827149,P,P,U
2MASXJ12005792+0648226,P,P,P
2MASXJ12313717-4758019,P,P,P
2MASXJ12335145-2103448,P,P,P
2MASXJ12475784-5829599,C,C,C
2MASXJ13411287-1438407,E,E,E
2MASXJ13512953-1813468,U,U,U
2MASXJ14080674-3023537,U,U,U
2MASXJ14530794+2554327,E,U,U
2MASXJ15064412+0351444,P,U,U
2MASXJ15115979-2119015,P,P,P
2MASXJ15462424+6929102,P,U,U
2MASXJ16481523-3035037,E,E,U
2MASXJ18570768-7828212,E,E,U
2MASXJ19373299-0613046,E,E,E
2MASXJ19380437-5109497,E,E,E
2MASXJ20005575-1810274,E,E,U
2MASXJ20101740+4800214,E,E,U
2MASXJ20183871+4041003,C,C,C
2MASXJ21090996-0940147,C,C,C
2MASXJ21355399+4728217,C,C,C
2MASXJ23272195+1524375,P,P,P
2MFGC02280,E,E,E
3C111.0,CP,CP,CP
3C120,P,P,P
4U1344-60,C,C,C
6dFJ0626586-370559,P,P,P
6dFJ2132022-334254,U,U,U
Ark120,E,E,E
ARK241,E,E,E
ARK347,P,P,U
ARP102B,P,U,U
ARP151,U,U,U
AXJ1737.4-2907,C,C,C
CenA,E,E,E
CGCG102-048,E,E,E
CGCG122-055,P,P,P
CGCG229-015,P,P,U
CGCG300-062,E,E,E
CGCG312-012,P,P,U
CGCG319-007,P,P,P
CGCG341-006,P,P,P
CGCG367-009,E,E,E
CGCG420-015,E,E,E
CGCG468-002NED01,E,E,E
CGCG493-002,P,P,U
CGCG535-012,E,E,E
ESO005-G004,E,E,E
ESO031-G008,E,E,E
ESO033-G002,E,E,E
ESO103-035,P,P,U
ESO121-IG028,E,E,E
ESO137-34,E,E,E
ESO139-G012,E,E,E
ESO141-G055,E,E,E
ESO157-G023,E,E,E
ESO195-IG021NED03,P,P,P
ESO197-G027,E,E,E
ESO198-024,P,P,U
ESO209-G012,E,E,E
ESO244-IG030,E,E,E
ESO263-G013,E,E,E
ESO297-018,E,E,E
ESO323-077,E,E,E
ESO362-18,E,E,E
ESO374-G044,E,E,E
ESO383-18,P,P,P
ESO399-20,E,E,E
ESO417-G006,P,U,U
ESO426-G002,E,E,E
ESO439-G009,E,E,E
ESO464-G016,P,P,U
ESO479-G031,P,U,U
ESO490-IG026,E,E,E
ESO499-G041,E,E,E
ESO506-G027,E,E,E
ESO509-G038,P,P,P
ESO509-IG066NED01,E,E,E
ESO511-G030,E,E,E
ESO533-G050,E,E,E
ESO548-G081,E,E,E
ESO549-G049,E,E,E
ESO553-G022,E,E,E
ESO553-G043,E,U,U
ESO565-G019,P,P,P
ESO578-G009,E,E,E
Fairall1146,E,E,E
Fairall272,P,P,P
Fairall49,P,P,P
Fairall51,E,E,E
Fairall9,P,P,U
HB890241+622,CP,CP,CP
IC0486,E,E,E
IC1657,E,E,E
IC1816,E,E,E
IC2461,E,E,E
IC2637,E,E,E
IC2921,P,U,U
IC4329A,E,E,E
IC4518A,E,E,E
IC4709,E,E,E
IC5063,E,E,E
IGRJ11366-6002,C,C,C
IGRJ23308+7120,E,E,E
IISZ010,P,U,U
IIZw083,E,E,E
IRAS03219+4031,E,E,U
IRAS04124-0803,P,P,U
IRAS05078+1626,E,E,E
IRAS05218-1212,P,U,U
IRAS05589+2828,P,P,P
KAZ320,P,P,U
KUG1141+371,E,E,U
KUG1208+386,P,P,U
LCRSB034324.7-394349,P,P,P
LCRSB232242.2-384320,P,P,P
LEDA138501,U,U,U
LEDA170194,E,E,E
LEDA214543,P,P,U
LEDA38038,P,P,U
M106,E,E,E
MCG-01-05-047,E,E,E
MCG-01-09-045,E,E,U
MCG-01-13-025,E,E,U
MCG-01-24-012,E,E,E
MCG-01-30-041,E,E,E
MCG-01-33-063,E,E,E
MCG-01-40-001,E,E,E
MCG-02-02-095,E,E,U
MCG-02-08-014,E,E,E
MCG-02-08-038,E,E,U
MCG-02-12-050,E,E,E
MCG-02-14-009,E,E,E
MCG-03-04-072,E,E,E
MCG-03-34-064,P,P,P
MCG-05-23-016,P,P,U
MCG-06-30-015,P,P,U
MCG-07-03-007,P,P,U
MCG+00-09-042,E,E,E
MCG+01-57-016,E,E,E
MCG+02-21-013,E,E,E
MCG+02-57-002,P,P,P
MCG+04-22-042,E,E,E
MCG+04-48-002,E,E,E
MCG+05-03-013,E,E,E
MCG+05-28-032,P,P,P
MCG+06-16-028,P,P,P
