Name,250 Classification,350 Classification,500 Classification
1RXSJ044154.5-082639,0.5,Undetected,Undetected
1RXSJ045205.0+493248,1,1,0.5
2E1739.1-1210,2,1,0.5
2MASSJ07594181-3843560,Cirrus,Cirrus,Cirrus
2MASSJ17485512-3254521,Cirrus,Cirrus,Cirrus
2MASXiJ1802473-145454,Cirrus (1),Cirrus (1),Cirrus (1)
2MASXJ00253292+6821442,Cirrus,Cirrus,Cirrus
2MASXJ01064523+0638015,0.5,Undetected,Undetected
2MASXJ01073963-1139117,1,0.5,0.5
2MASXJ03305218+0538253,Cirrus,Cirrus,Cirrus
2MASXJ03342453-1513402,1,1,0.5
2MASXJ03502377-5018354,1,1,0.5
2MASXJ03534246+3714077,1,1,0.5
2MASXJ03540948+0249307,Cirrus,Cirrus,Cirrus
2MASXJ04234080+0408017,1,1,Undetected
2MASXJ04440903+2813003,Cirrus (1),Cirrus (1),Cirrus
2MASXJ05020903+0331499,0.5,0.5,Undetected
2MASXJ05054575-2351139,1,0.5,0.5
2MASXJ05580206-3820043,2,2,0.5
2MASXJ06411806+3249313,Undetected,Undetected,Undetected
2MASXJ06561197-4919499,0.5,0.5,Undetected
2MASXJ07262635-3554214,Cirrus (1),Cirrus (1),Cirrus
2MASXJ07595347+2323241,2,1,1
2MASXJ08032736+0841523,Undetected,Undetected,Undetected
2MASXJ09023729-4813339,Cirrus,Cirrus,Cirrus
2MASXJ09043699+5536025,1,Undetected,Undetected
2MASXJ09235371-3141305,0.5,Undetected,Undetected
2MASXJ09254750+6927532,Cirrus (0.5),Cirrus,Cirrus
2MASXJ09360622-6548336,Undetected,Undetected,Undetected
2MASXJ09594263-3112581,1,0.5,Undetected
2MASXJ10402231-4625264,1,1,0.5
2MASXJ11454045-1827149,1,0.5,Undetected
2MASXJ12005792+0648226,1,1,1
2MASXJ12313717-4758019,1,1,1
2MASXJ12335145-2103448,1,0.5,0.5
2MASXJ12475784-5829599,Cirrus (1),Cirrus (1),Cirrus
2MASXJ13411287-1438407,1,0.5,0.5
2MASXJ13512953-1813468,Undetected,Undetected,Undetected
2MASXJ14080674-3023537,Undetected,Undetected,Undetected
2MASXJ14530794+2554327,0.5,Undetected,Undetected
2MASXJ15064412+0351444,0.5,Undetected,Undetected
2MASXJ15115979-2119015,1,1,1
2MASXJ15462424+6929102,0.5,Undetected,Undetected
2MASXJ16481523-3035037,1,0.5,Undetected
2MASXJ18570768-7828212,1,1,Undetected
2MASXJ19373299-0613046,2,1,1
2MASXJ19380437-5109497,1,0.5,0.5
2MASXJ20005575-1810274,2,1,Undetected
2MASXJ20101740+4800214,Cirrus (1),Cirrus (0.5),Cirrus
2MASXJ20183871+4041003,Cirrus (1),Cirrus (1),Cirrus (1)
2MASXJ21090996-0940147,Cirrus (1),Cirrus,Cirrus
2MASXJ21355399+4728217,Cirrus (1),Cirrus (1),Cirrus (1)
2MASXJ23272195+1524375,1,1,1
2MFGC02280,1,1,0.5
3C111.0,Cirrus (1),Cirrus (1),Cirrus (1)
3C120,2,1,1
4U1344-60,Cirrus (1),Cirrus (1),Cirrus
6dFJ0626586-370559,1,1,0.5
6dFJ2132022-334254,Undetected,Undetected,Undetected
Ark120,1,1,1
ARK241,1,0.5,0.5
ARK347,1,1,Undetected
ARP102B,1,Undetected,Undetected
ARP151,Undetected,Undetected,Undetected
AXJ1737.4-2907,Cirrus,Cirrus,Cirrus
CenA,3,3,3
CGCG102-048,2,2,0.5
CGCG122-055,1,1,1
CGCG229-015,1,0.5,Undetected
CGCG300-062,1,0.5,0.5
CGCG312-012,1,1,Undetected
CGCG319-007,1,1,0.5
CGCG341-006,1,1,0.5
CGCG367-009,2,2,0.5
CGCG420-015,1,1,0.5
CGCG468-002NED01,2,1,2
CGCG493-002,1,0.5,Undetected
CGCG535-012,2,0.5,0.5
ESO005-G004,3,2,2
ESO031-G008,1,1,0.5
ESO033-G002,1,1,0.5
ESO103-035,1,0.5,Undetected
ESO121-IG028,1,1,0.5
ESO137-34,2,2,2
ESO139-G012,2,2,2
ESO141-G055,2,1,1
ESO157-G023,2,1,0.5
ESO195-IG021NED03,1,1,0.5
ESO197-G027,1,1,1
ESO198-024,1,0.5,Undetected
ESO209-G012,2,2,2
ESO244-IG030,2,2,1
ESO263-G013,2,2,0.5
ESO297-018,2,2,2
ESO323-077,2,1,1
ESO362-18,1,1,1
ESO374-G044,2,1,0.5
ESO383-18,1,1,0.5
ESO399-20,1,1,1
ESO417-G006,0.5,Undetected,Undetected
ESO426-G002,2,2,0.5
ESO439-G009,2,2,2
ESO464-G016,1,1,Undetected
ESO479-G031,1,Undetected,Undetected
ESO490-IG026,2,2,1
ESO499-G041,1,1,1
ESO506-G027,2,2,2
ESO509-G038,1,1,1
ESO509-IG066NED01,2,2,1
ESO511-G030,3,3,2
ESO533-G050,2,2,2
ESO548-G081,1,1,1
ESO549-G049,2,2,1
ESO553-G022,1,1,1
ESO553-G043,1,Undetected,Undetected
ESO565-G019,1,1,1
ESO578-G009,2,1,1
Fairall1146,1,1,1
Fairall272,2,2,2
Fairall49,1,1,1
Fairall51,2,2,2
Fairall9,1,0.5,Undetected
HB890241+622,Cirrus (1),Cirrus (1),Cirrus (1)
IC0486,2,1,1
IC1657,2,2,2
IC1816,2,1,1
IC2461,2,2,2
IC2637,2,1,1
IC2921,0.5,Undetected,Undetected
IC4329A,2,2,0.5
IC4518A,2,2,2
IC4709,2,2,2
IC5063,2,2,2
IGRJ11366-6002,Cirrus (1),Cirrus (1),Cirrus (1)
IGRJ23308+7120,1,1,1
IISZ010,1,Undetected,Undetected
IIZw083,1,1,1
IRAS03219+4031,1,1,2
IRAS04124-0803,1,0.5,Undetected
IRAS05078+1626,2,2,2
IRAS05218-1212,1,Undetected,Undetected
IRAS05589+2828,1,1,1
KAZ320,1,1,Undetected
KUG1141+371,1,0.5,Undetected
KUG1208+386,0.5,0.5,Undetected
LCRSB034324.7-394349,1,1,0.5
LCRSB232242.2-384320,1,1,1
LEDA138501,Undetected,Undetected,Undetected
LEDA170194,1,1,0.5
LEDA214543,1,1,Undetected
LEDA38038,1,1,Undetected
M106,3,3,3
MCG-01-05-047,2,2,2
MCG-01-09-045,1,1,Undetected
MCG-01-13-025,1,0.5,Undetected
MCG-01-24-012,2,2,1
MCG-01-30-041,2,1,1
MCG-01-33-063,2,2,2
MCG-01-40-001,2,2,2
MCG-02-02-095,1,0.5,Undetected
MCG-02-08-014,2,2,1
MCG-02-08-038,1,1,Undetected
MCG-02-12-050,2,1,1
MCG-02-14-009,2,2,2
MCG-03-04-072,1,1,0.5
MCG-03-34-064,2,1,1
